Temperature,Humidity,Wind Speed,Pressure,PM2.5,PM10,NO2,SO2,CO,O3,AQI
23.99,32.34,9.41,1015.49,183.11,187.5,89.45,40.81,3.96,113.75,160.28
23.91,32.16,9.22,1009.73,97.62,238.48,10.22,46.17,2.16,179.3,113.04
30.49,40.51,8.93,1014.25,6.99,83.63,21.78,22.52,4.91,111.24,45.36
29.13,82.01,6.44,1028.15,7.27,231.45,57.13,19.52,2.02,143.6,92.38
29.07,46.95,8.18,1016.82,117.84,209.52,50.7,40.51,3.27,140.74,134.5
31.53,87.03,1.16,1009.27,124.64,103.62,9.36,27.42,0.97,69.55,91.93
25.11,64.9,3.68,1008.0,10.53,168.19,5.69,34.85,4.91,73.21,76.35
28.41,56.2,3.48,1011.3,173.3,52.71,98.87,31.9,3.58,133.09,119.81
23.45,64.81,6.54,1029.37,77.03,141.24,67.59,9.34,3.82,95.0,106.12
26.62,61.0,3.88,1011.17,142.17,265.55,39.71,42.55,0.52,107.0,177.25
24.35,75.53,1.91,1012.8,78.73,132.15,49.69,11.4,3.86,131.19,108.92
25.48,46.95,6.17,1008.18,45.95,253.47,30.32,46.75,3.92,142.19,132.2
27.98,51.18,8.24,1023.99,104.76,181.17,37.76,14.03,3.42,56.16,138.89
20.91,83.65,4.13,1032.6,61.91,65.64,66.66,37.23,1.6,34.95,68.92
35.46,86.79,1.76,1017.51,136.03,178.52,88.87,15.66,2.55,59.61,137.7
19.97,83.55,2.37,1013.83,53.71,156.74,22.49,17.25,0.73,96.28,69.52
18.93,55.17,2.76,1013.37,129.56,125.61,84.83,16.88,2.46,68.16,114.68
30.79,76.82,3.35,989.16,43.56,44.69,16.55,37.9,1.37,106.62,37.12
28.96,58.58,6.61,1020.45,169.39,130.85,25.42,28.73,1.88,19.09,144.91
28.12,59.85,6.21,1014.34,189.71,31.1,8.53,44.38,0.98,96.66,117.34
28.14,42.28,7.11,1017.28,32.05,38.64,18.38,16.75,1.3,72.56,46.11
24.94,65.47,3.94,1005.89,119.61,130.62,92.14,35.22,0.57,100.89,96.28
20.51,41.17,8.33,1009.16,22.36,98.56,48.65,38.14,4.62,81.83,84.48
25.38,49.89,2.44,1008.89,151.55,278.41,12.38,9.27,2.75,58.32,164.0
21.61,81.3,4.96,1023.22,69.78,118.95,96.17,21.23,2.1,163.7,74.34
29.88,42.42,8.11,1009.21,134.27,229.78,88.5,25.18,2.77,41.41,148.72
24.26,34.27,2.21,1033.83,131.78,163.77,76.69,19.07,3.22,125.83,173.06
20.87,34.14,1.54,1017.31,231.47,214.18,93.68,17.46,4.63,167.19,201.63
23.39,86.45,8.89,1000.24,139.53,85.43,25.91,34.95,1.06,101.57,100.06
27.06,60.42,3.76,1011.71,147.83,283.15,84.46,12.36,1.62,158.99,173.08
22.18,54.56,7.0,1006.48,103.41,163.73,70.55,36.05,4.88,31.22,122.72
20.89,78.65,0.74,991.06,237.52,251.08,87.63,46.88,1.98,93.94,201.3
26.22,80.15,7.06,1028.99,195.41,115.86,80.71,29.13,0.31,87.69,146.82
26.22,49.93,3.5,1020.03,74.92,39.06,37.92,31.35,0.91,11.38,73.63
22.47,71.62,1.03,1018.33,211.83,205.38,78.57,5.31,0.33,85.35,183.05
22.64,76.27,6.29,1014.65,110.94,12.25,29.93,43.49,4.95,72.74,63.95
26.16,69.28,2.79,999.18,208.02,147.83,36.22,15.7,1.54,123.87,154.7
17.76,39.1,4.17,1008.16,206.61,65.91,15.25,31.52,4.63,169.52,135.2
17.96,82.55,1.27,1021.42,51.27,191.94,93.83,49.0,4.98,24.58,111.28
21.41,62.35,1.9,1002.49,176.78,294.03,32.65,30.58,3.08,65.67,211.9
23.93,46.95,3.33,987.68,76.21,144.68,54.46,36.79,0.36,85.49,89.35
26.55,55.51,1.35,1010.73,77.89,247.07,42.18,23.38,0.59,87.38,120.65
32.38,32.25,9.15,1011.58,77.61,157.26,96.19,4.9,2.51,141.72,132.88
29.29,37.67,0.56,1014.36,182.76,153.79,36.83,40.28,2.15,85.38,164.52
24.2,75.93,5.1,1020.29,61.31,279.82,78.96,3.68,3.11,14.62,140.91
24.9,30.0,1.67,1019.38,5.22,268.09,86.26,35.63,2.31,130.72,132.35
19.99,54.99,3.42,1015.59,180.23,237.88,46.38,3.1,4.68,160.42,190.88
24.91,61.35,9.3,1024.96,46.94,95.91,40.93,43.39,2.77,97.36,38.96
23.56,33.28,2.04,997.81,30.6,168.05,76.04,9.57,3.53,108.79,99.05
26.61,88.38,9.68,1018.05,63.19,74.93,91.73,26.69,4.5,37.7,54.96
20.86,43.57,2.46,1019.27,98.08,138.74,76.72,30.66,0.9,47.51,110.31
27.6,48.25,7.54,1000.6,121.6,150.42,26.58,23.96,1.3,49.98,88.98
32.66,48.24,5.69,997.97,15.92,251.18,89.39,18.36,0.72,83.23,89.98
24.46,43.82,8.9,1005.54,242.79,269.85,41.82,24.46,0.87,167.78,208.26
27.01,30.09,5.76,1006.38,180.44,130.24,59.74,16.95,2.66,98.7,134.51
28.45,73.76,5.58,1020.53,84.18,15.13,83.99,23.03,1.74,42.66,57.03
22.99,88.01,2.36,1006.85,83.08,259.91,22.9,19.23,2.23,55.23,146.05
26.12,43.46,2.08,1004.44,114.89,60.54,79.53,29.18,4.92,75.28,90.56
25.06,69.78,9.21,1006.88,158.43,190.35,61.64,13.42,0.95,115.95,156.51
25.49,74.51,3.61,1024.19,40.86,17.24,89.87,49.46,2.8,84.81,32.66
21.13,80.91,4.03,1013.13,51.29,125.86,21.34,26.04,0.67,76.72,67.55
25.12,55.36,7.72,1011.21,215.56,295.93,44.96,11.32,1.73,106.0,213.79
27.49,48.18,3.72,1011.9,67.78,39.2,84.12,24.9,2.73,51.11,49.58
32.26,49.52,9.54,1025.92,98.15,132.87,6.83,43.59,4.74,23.41,86.82
29.8,72.76,7.51,1005.51,218.46,99.07,15.66,3.05,2.08,14.15,154.57
35.77,79.01,6.18,1026.16,167.47,272.48,99.1,34.62,0.51,52.71,196.55
21.16,40.9,8.87,1015.1,88.72,262.11,31.64,28.3,2.06,25.57,133.09
29.36,52.26,0.97,1011.4,172.51,78.93,97.68,10.14,0.9,67.18,117.39
25.92,84.12,2.94,1038.01,9.82,33.54,22.34,41.24,1.3,141.4,28.35
35.95,78.4,4.92,1002.44,185.23,191.87,39.3,19.71,3.17,131.77,168.06
20.96,89.09,2.66,1009.46,124.32,107.55,76.52,16.1,0.52,113.86,110.37
20.8,75.25,7.57,1000.68,204.23,204.9,67.49,41.75,2.43,154.93,144.89
22.0,53.59,9.23,1022.52,238.89,19.31,60.21,32.65,3.13,57.95,127.39
14.38,65.44,4.53,1029.89,231.82,48.69,55.34,45.12,2.22,160.46,135.51
22.37,69.66,3.75,1029.7,227.77,209.05,85.13,32.23,0.29,77.87,191.42
21.2,34.71,9.63,1025.24,130.48,71.59,27.32,37.56,4.93,78.15,110.47
25.75,62.67,4.73,1011.02,93.23,258.7,47.03,42.15,1.96,78.91,148.05
26.71,72.56,5.15,1009.35,118.93,26.99,19.77,4.63,3.94,26.68,85.98
34.38,40.04,3.84,996.29,174.02,72.49,61.61,39.25,1.76,175.83,106.18
29.75,76.84,9.14,1033.36,221.58,299.58,28.8,31.46,2.48,33.55,234.93
22.12,65.03,5.91,1017.69,55.71,135.59,36.71,5.34,2.06,67.95,99.1
20.51,87.13,7.74,1008.08,229.96,213.86,49.77,26.41,1.84,64.28,173.38
27.46,32.55,8.21,1026.28,204.72,62.97,7.54,5.96,0.3,22.7,128.66
18.4,45.92,3.75,1003.27,244.82,186.86,13.73,37.33,1.93,35.88,179.28
34.16,66.09,4.62,1017.07,220.66,220.57,70.16,28.23,4.47,17.63,200.77
30.9,47.79,8.56,1011.27,73.58,101.2,45.75,47.77,3.51,59.71,101.65
22.65,72.87,3.95,1019.39,30.96,250.38,87.16,10.79,0.9,157.33,137.64
16.43,75.54,8.04,1012.36,32.5,184.99,70.99,31.09,3.04,67.71,102.14
31.77,36.15,9.44,998.49,76.35,122.85,5.77,12.16,4.48,31.03,94.71
24.43,60.83,6.42,1013.76,155.48,171.72,63.59,31.48,3.56,119.77,145.16
31.19,60.53,7.55,1023.49,202.06,177.26,13.9,36.69,0.91,179.42,166.49
17.03,52.16,8.15,1012.71,225.32,58.01,79.19,36.67,4.37,49.5,174.3
22.0,85.98,8.53,1020.75,157.82,126.79,99.19,41.12,1.65,57.53,134.35
25.03,79.65,4.25,1002.54,6.38,109.59,55.46,42.97,2.38,175.21,41.11
25.23,71.83,0.99,1012.74,50.65,126.26,69.86,5.71,2.73,40.39,55.16
22.75,72.86,4.32,1006.75,29.43,230.72,27.54,18.48,4.28,96.91,110.09
28.11,57.7,6.9,1020.47,94.01,149.94,46.57,34.98,4.67,50.74,117.13
19.66,85.26,4.78,1013.31,127.83,282.69,86.33,25.93,4.66,168.5,166.32
24.29,71.68,7.62,1019.9,15.63,95.17,20.91,11.15,0.24,176.86,58.66
25.6,73.74,3.89,1023.88,90.38,130.55,30.23,28.53,4.63,148.5,99.32
27.57,81.7,6.53,1019.92,48.9,238.22,47.32,21.56,0.46,63.51,102.36
28.56,46.44,2.27,1015.73,163.53,168.35,72.66,20.72,1.48,78.59,146.32
19.38,78.42,7.62,1003.02,118.75,168.64,40.71,40.87,2.67,51.19,119.85
17.33,41.71,5.68,1012.97,126.35,25.47,93.13,21.56,2.5,161.43,95.49
31.39,50.72,2.44,1007.67,109.78,125.59,13.97,3.27,3.1,165.47,124.02
26.66,50.14,3.27,1009.56,239.22,88.51,40.23,4.79,2.5,81.21,142.42
21.26,88.71,7.61,1009.25,57.61,299.81,72.35,43.1,4.69,121.61,151.95
32.76,81.39,5.08,1003.2,131.58,99.42,26.47,48.11,1.35,38.14,108.08
25.58,72.07,2.55,993.43,185.32,266.5,67.36,35.04,1.52,83.94,189.63
30.9,73.62,9.69,1006.32,141.43,206.11,20.6,19.49,4.62,117.35,164.86
25.34,63.72,7.29,1014.93,232.61,108.87,10.32,47.05,0.57,75.52,156.3
35.3,86.83,9.59,999.52,97.6,167.62,16.5,33.81,3.13,70.79,120.43
33.78,59.78,4.56,1013.16,118.6,253.76,93.35,42.53,3.47,10.17,168.25
23.76,52.83,5.01,1032.0,26.69,266.18,57.42,38.76,2.63,146.73,104.13
29.86,39.78,9.03,1023.23,154.2,56.51,80.65,20.2,3.53,161.19,121.44
28.23,77.17,5.49,1029.44,75.61,108.48,36.6,24.98,1.03,174.81,78.08
31.84,74.07,7.22,1016.91,44.28,107.21,61.3,10.93,4.29,132.28,74.51
20.18,53.06,2.9,1024.68,138.41,22.19,52.02,16.02,0.87,103.29,81.72
28.43,31.51,4.74,1005.76,135.42,183.49,94.85,39.35,2.12,55.78,148.76
30.29,80.34,1.67,1006.56,23.59,257.9,76.02,44.91,0.56,179.88,105.52
16.21,30.69,2.46,985.61,176.06,120.66,74.4,36.77,2.82,110.26,150.08
19.08,72.22,0.51,1024.86,157.82,224.61,9.4,24.33,3.41,125.8,160.95
14.8,88.22,0.87,1028.4,51.31,192.03,57.22,6.15,4.72,126.01,81.91
23.65,56.26,9.78,1007.47,120.01,118.94,49.36,4.73,3.75,153.69,115.65
28.59,44.1,2.8,1010.46,181.48,50.91,93.15,19.97,2.8,11.64,125.9
32.51,72.29,6.8,1005.46,134.71,215.7,29.45,24.26,4.68,47.44,154.84
25.37,79.03,8.47,1016.83,101.89,257.82,30.63,31.24,2.5,123.14,133.97
33.14,62.79,5.73,1024.25,83.97,208.9,44.08,2.31,2.89,162.17,103.17
18.1,88.02,1.95,995.57,154.55,15.18,28.12,49.51,3.06,126.51,108.2
16.48,33.1,7.42,1017.09,235.08,72.71,17.27,19.47,2.17,80.29,146.06
24.72,60.29,6.2,1010.23,169.58,30.15,86.45,42.71,4.22,71.46,121.29
26.92,73.11,7.45,1014.13,23.31,175.41,58.04,27.68,1.09,135.45,73.22
24.84,81.76,7.81,1017.59,117.87,229.38,86.83,8.26,2.86,136.01,148.06
14.66,40.76,9.77,1011.12,223.25,42.07,83.96,40.28,3.67,113.2,141.18
24.55,78.0,5.95,1011.96,28.14,253.12,31.79,36.07,4.54,59.55,95.28
18.48,63.16,3.75,1010.86,247.27,171.1,57.04,27.32,4.44,167.28,205.82
28.35,53.79,6.66,1022.7,237.52,210.09,12.91,26.7,2.64,103.82,185.37
26.83,37.9,1.15,1017.19,24.18,291.71,91.95,6.2,3.29,144.38,124.31
20.3,81.92,9.03,1015.21,233.69,34.27,43.4,33.48,2.09,46.43,146.5
22.43,39.44,1.63,1000.29,93.97,271.35,42.4,45.74,2.45,68.49,134.83
19.7,48.59,3.61,1009.21,211.95,46.57,33.76,6.48,4.55,158.68,122.41
24.69,47.4,8.25,1021.99,107.5,123.96,48.76,14.65,4.67,18.52,147.31
29.78,82.28,6.17,1013.38,113.01,256.92,28.92,45.31,4.5,97.09,146.26
20.07,70.36,4.24,1019.6,160.39,272.81,40.61,15.65,0.86,91.89,180.66
27.52,77.8,5.0,1030.67,194.75,156.85,80.99,33.39,4.28,137.71,198.88
22.35,45.03,8.62,1023.39,13.28,182.29,84.25,27.67,4.75,57.92,98.4
21.04,67.49,3.73,1013.93,150.32,215.36,33.9,30.62,1.93,47.24,146.93
24.46,64.3,8.76,1007.89,50.75,251.5,49.56,21.96,2.69,167.44,117.29
19.82,79.97,1.34,987.46,89.76,45.24,88.01,16.4,3.94,107.19,69.55
22.23,84.37,7.88,1011.32,90.25,244.92,10.0,4.33,2.9,27.8,142.29
19.01,30.73,8.55,1009.74,119.92,149.57,89.47,37.73,4.97,42.82,139.92
34.82,70.44,2.23,1016.9,86.86,140.68,25.82,37.81,2.39,179.8,93.15
25.18,33.11,4.59,1011.46,31.3,132.93,69.46,34.19,3.63,43.25,60.3
21.5,62.93,2.07,1009.8,40.68,157.67,60.34,32.89,4.0,113.78,69.79
26.07,47.26,7.21,995.21,13.19,284.06,57.53,13.7,2.57,81.42,122.39
24.44,48.41,5.59,1003.6,120.21,168.98,86.64,3.07,4.31,160.55,137.57
23.9,51.18,6.54,1017.77,238.84,286.42,14.65,40.82,2.82,138.38,223.31
28.07,67.28,2.37,1030.16,33.34,62.28,37.97,25.57,2.18,111.48,36.84
28.79,50.04,2.51,1012.02,236.83,220.0,56.13,16.73,0.72,11.83,171.3
22.35,73.96,0.89,1016.28,184.67,245.55,82.07,6.89,2.09,159.57,198.45
22.12,54.27,3.56,1022.52,161.19,206.95,25.56,5.01,3.72,85.59,159.0
23.62,34.1,5.82,1004.89,163.09,186.01,81.28,18.75,4.62,168.37,177.26
13.49,77.03,8.65,1016.67,207.55,173.8,42.97,40.63,1.41,94.24,162.56
17.42,47.15,6.84,1005.6,31.2,259.67,22.95,46.1,1.91,128.02,102.82
31.83,55.97,4.64,1021.65,128.66,248.28,77.1,45.04,0.94,21.78,162.73
33.22,71.13,9.55,1014.51,175.79,45.46,13.64,46.16,3.52,136.68,129.47
23.75,49.95,7.33,1015.98,148.77,256.09,53.9,45.57,4.81,67.46,186.62
27.88,33.4,9.34,1005.17,209.03,130.08,11.07,27.31,3.28,69.73,152.81
26.56,52.44,5.51,1020.07,22.71,83.57,38.86,12.53,3.16,30.17,60.25
40.39,86.67,2.96,1033.85,174.22,262.23,62.1,40.31,2.86,34.97,199.91
30.6,68.5,1.0,1002.92,135.84,135.29,57.83,12.26,0.62,41.58,116.03
24.36,70.29,7.4,1009.6,97.89,244.43,43.44,14.83,3.7,65.8,132.08
20.22,67.94,1.65,1015.32,88.37,86.39,45.76,13.2,3.09,161.63,107.98
16.97,41.94,3.38,1020.86,157.1,11.14,26.54,26.72,3.38,72.6,87.64
26.02,55.1,5.56,1007.4,223.29,153.68,48.31,17.45,4.51,133.14,189.1
21.22,75.06,5.86,984.67,126.56,39.07,95.56,9.4,3.96,24.07,96.52
17.89,36.08,6.21,1026.59,207.06,228.77,85.79,23.75,3.95,110.49,168.36
21.77,46.67,2.08,1020.61,103.53,90.06,18.8,43.95,4.65,91.92,115.58
19.59,46.58,4.11,995.57,30.09,138.66,7.83,29.39,4.95,176.25,35.91
33.44,55.92,6.36,1006.92,20.07,35.24,93.68,44.16,2.99,153.86,14.47
29.41,88.82,9.71,1028.68,17.58,93.13,55.04,11.4,0.72,87.32,54.63
24.96,34.05,7.41,1027.48,98.14,236.63,56.09,10.01,2.4,141.77,144.12
32.4,61.12,9.26,1022.39,87.62,53.96,79.17,29.63,3.98,42.82,72.63
25.39,40.76,7.74,1011.24,180.89,197.68,34.9,24.24,0.33,105.6,159.78
20.69,88.24,6.12,1013.83,186.99,276.05,50.78,33.69,0.47,22.69,146.98
32.62,36.8,2.32,1011.69,17.46,207.15,97.02,40.14,0.52,69.18,96.14
27.69,54.22,6.83,1024.28,59.18,245.2,68.85,38.06,3.71,48.4,127.78
19.81,74.27,6.42,1004.24,72.19,41.6,19.61,47.23,2.61,132.21,62.68
24.05,72.27,6.22,1004.94,139.16,82.71,17.66,21.12,1.97,93.32,105.31
20.62,55.36,5.15,1023.1,40.41,269.42,24.41,11.91,0.71,137.68,116.34
18.09,50.79,5.52,1012.56,37.82,217.38,77.84,28.44,3.71,97.6,105.99
29.63,53.86,3.68,1026.78,236.23,195.47,33.06,7.32,1.74,24.7,158.03
34.55,45.86,5.43,1006.28,202.03,202.49,7.03,15.86,1.47,135.01,203.32
18.01,42.32,2.38,1012.45,49.26,130.12,94.7,11.98,3.33,151.65,104.77
27.81,58.98,8.15,1003.78,104.61,22.92,21.12,21.04,2.88,163.6,54.99
21.75,46.11,2.26,1013.07,92.13,237.49,5.91,7.34,1.94,107.24,121.05
22.56,47.25,1.31,998.21,198.8,206.83,27.53,3.53,3.28,138.11,173.43
22.04,69.41,4.64,1008.12,130.0,147.11,27.33,33.53,1.5,137.85,136.99
20.68,88.11,6.75,998.64,36.32,270.93,45.09,31.29,4.02,36.48,85.9
25.24,66.22,4.66,1019.94,186.05,107.49,92.44,36.0,1.3,37.92,133.49
20.85,34.62,3.13,1020.17,102.24,95.35,88.52,33.7,0.96,22.05,67.18
26.35,34.54,5.8,995.7,69.42,263.11,48.4,7.49,3.96,64.39,127.73
24.75,87.09,3.8,1026.34,97.0,241.13,44.04,15.97,3.6,90.5,131.55
23.81,47.84,9.36,1037.97,126.95,159.34,57.73,8.22,1.08,179.64,125.48
20.46,35.52,9.27,1013.46,89.06,47.91,28.13,42.46,0.76,83.27,58.71
22.12,65.94,5.27,1006.59,64.27,72.37,9.96,37.85,4.22,133.46,60.81
28.78,67.42,3.61,1041.24,102.63,200.31,94.23,11.67,3.93,127.88,145.05
27.5,68.91,7.5,999.81,9.7,121.66,22.74,18.38,1.77,44.76,57.57
20.11,46.04,0.85,1013.2,194.26,252.58,23.85,48.4,3.36,19.95,196.46
25.5,30.91,5.01,1014.8,46.88,285.49,49.88,30.52,0.8,102.82,117.39
28.76,87.9,3.7,1026.45,15.76,243.63,51.7,40.46,2.63,129.05,90.07
16.65,45.05,9.25,1016.6,165.16,119.49,6.75,14.7,0.29,179.7,122.52
27.72,70.56,0.61,1008.01,194.61,238.72,19.06,12.08,2.08,70.96,186.61
21.69,72.4,5.75,1003.49,204.39,111.92,40.92,39.63,0.56,162.38,114.12
27.85,66.6,7.54,1009.58,125.91,58.46,69.95,34.92,2.48,74.93,104.09
21.18,48.77,5.11,1002.93,55.32,19.68,26.7,34.69,2.22,127.2,51.82
15.98,46.27,1.31,1013.48,185.62,121.86,45.19,28.53,2.33,111.7,145.48
16.86,65.86,9.74,1007.36,176.43,272.03,57.95,29.05,0.42,19.01,176.47
25.24,81.97,5.42,998.06,65.34,79.31,89.42,37.31,1.94,23.33,35.05
26.3,86.8,6.33,1025.55,226.33,69.89,35.98,14.96,3.83,13.53,143.65
20.48,36.35,2.75,1008.02,30.57,291.25,17.69,18.93,1.97,73.04,139.59
28.19,39.29,5.09,1000.32,245.76,17.25,51.48,43.84,3.63,136.79,149.22
16.69,86.68,4.58,1011.32,215.76,237.88,75.94,16.83,1.97,39.37,189.78
24.67,74.19,1.21,1013.68,173.54,103.2,15.44,28.22,2.23,113.0,129.89
18.94,82.98,1.51,995.54,234.99,20.87,45.34,35.73,2.91,59.1,145.3
21.74,42.16,8.46,1016.32,181.97,276.16,6.69,50.0,4.76,145.49,204.08
25.24,65.26,2.78,1002.53,51.66,50.5,8.19,22.89,0.72,145.73,44.59
20.7,72.07,2.35,1030.11,113.33,170.02,50.88,22.55,0.36,141.82,124.17
23.08,70.81,5.3,1018.24,22.52,89.48,33.33,42.44,3.12,99.22,80.05
30.03,54.49,7.8,1009.0,100.47,28.91,85.29,40.66,4.76,58.38,99.99
22.12,30.92,1.09,1005.55,186.69,24.48,62.2,37.09,4.95,147.61,161.67
29.18,64.98,5.98,1011.95,99.68,43.51,48.12,24.24,2.52,41.64,67.47
19.35,45.19,1.63,1019.13,85.92,30.7,43.75,17.55,2.45,59.26,91.09
27.65,57.02,0.85,1012.75,150.86,230.56,52.24,31.22,3.3,41.27,150.24
32.21,87.45,1.0,1010.83,218.69,150.81,8.84,44.06,2.87,124.62,174.07
12.64,53.94,8.42,1013.58,16.66,109.44,89.82,44.42,3.24,126.66,75.61
21.02,80.39,1.62,1006.96,99.44,131.33,99.84,7.21,4.4,120.93,107.4
27.89,41.31,0.93,1009.57,43.77,279.39,22.24,22.56,3.78,80.65,123.33
23.98,70.35,4.66,992.14,175.36,274.12,16.44,24.31,2.59,27.03,194.73
26.86,88.62,8.52,1022.74,30.9,217.55,18.64,48.93,2.42,164.9,84.92
21.98,36.11,2.99,1015.99,167.88,266.56,67.8,34.54,3.27,96.31,209.19
25.43,30.5,4.51,1005.27,75.11,102.7,67.84,21.55,2.39,79.19,64.2
24.22,56.01,0.88,1031.99,53.73,120.52,85.55,3.25,2.4,110.1,110.23
30.84,35.56,4.77,1013.87,234.41,187.98,76.42,29.14,0.28,42.77,199.41
26.27,74.9,5.99,1002.64,9.54,190.85,47.72,6.61,1.04,32.53,69.54
26.69,84.87,5.92,1021.57,112.26,149.69,63.22,42.05,2.54,78.94,112.63
22.94,56.04,3.66,1016.98,10.3,126.19,70.39,38.12,4.15,48.63,57.76
22.56,45.52,3.5,1016.95,123.48,295.99,53.71,24.1,1.54,51.53,160.72
22.84,56.06,1.51,1008.74,127.76,248.13,50.19,22.6,2.71,161.73,155.1
26.97,73.41,3.98,1017.5,83.81,136.14,66.28,45.07,1.86,100.23,118.03
22.9,30.54,1.45,1010.38,37.38,220.91,57.96,15.85,0.7,92.19,125.04
26.45,65.37,7.78,1018.56,97.21,88.17,66.17,13.95,4.8,127.21,102.31
35.38,66.8,9.68,993.95,169.7,39.05,63.22,47.08,4.3,171.76,108.9
29.36,68.26,9.72,1008.66,196.69,112.2,73.32,40.84,0.58,29.07,135.51
23.37,44.52,8.72,1030.22,135.03,126.86,66.07,41.39,3.65,151.7,125.5
31.01,72.84,6.21,1005.33,149.51,14.8,54.38,11.37,1.87,109.28,77.54
22.96,35.48,7.16,1006.96,54.15,246.29,69.77,8.88,4.98,34.85,106.32
14.81,41.96,3.21,1008.52,75.4,114.17,47.7,3.25,1.65,60.52,114.5
19.96,82.65,6.49,1000.85,44.66,178.32,27.96,13.38,1.35,92.0,89.71
15.65,74.32,4.83,990.92,66.08,31.45,5.13,39.16,2.93,127.5,43.78
23.24,30.82,5.08,1010.69,60.1,60.75,58.2,13.52,4.21,51.24,80.67
25.09,44.9,7.7,1014.36,132.26,268.01,61.11,37.0,1.12,100.93,142.21
33.38,42.86,3.18,1012.47,142.86,186.52,97.34,14.09,3.61,126.39,134.73
26.63,46.25,3.52,1011.55,236.51,285.58,39.34,20.97,0.49,86.29,200.08
23.9,44.85,9.28,1013.43,52.91,299.64,42.44,49.19,4.61,156.71,164.84
29.15,33.75,1.03,1023.23,162.21,117.84,24.17,13.75,0.59,157.81,120.69
13.94,57.54,5.11,1011.1,205.23,96.65,11.7,20.07,4.59,90.02,112.72
26.18,73.96,9.17,1007.26,142.26,258.92,78.42,16.45,2.56,175.4,186.8
28.85,66.4,6.3,1010.19,67.48,299.6,28.72,7.26,2.35,22.85,129.77
17.61,70.37,5.69,1018.79,69.32,192.6,62.85,25.51,4.87,10.57,87.09
30.72,34.87,2.87,1027.12,14.62,240.59,70.34,20.18,4.95,74.71,99.13
26.69,87.09,3.76,1006.72,79.83,236.71,49.77,35.35,3.32,112.19,137.69
22.92,80.31,8.59,1013.99,187.43,113.05,88.25,41.24,0.81,116.96,149.35
28.16,78.31,5.81,1016.38,16.64,176.54,47.16,28.12,2.63,91.0,104.09
36.35,79.38,5.39,1003.07,58.73,251.59,32.07,3.55,2.74,31.23,104.28
25.91,85.96,1.45,1013.2,178.03,209.55,90.12,31.71,2.67,38.98,171.97
26.24,62.66,0.65,998.34,196.75,16.14,86.85,4.66,2.93,154.87,113.54
22.7,42.02,9.66,995.31,116.55,107.64,20.58,31.59,0.29,157.54,75.1
20.75,67.01,4.08,1016.67,176.03,51.9,7.47,34.88,3.61,124.56,132.69
29.15,74.57,6.23,1009.16,100.05,77.56,13.55,11.49,3.62,122.92,95.49
20.72,74.28,1.26,1015.02,44.18,272.59,32.22,41.33,0.75,111.61,117.91
25.36,61.29,6.99,1012.82,102.55,20.7,97.36,45.73,2.94,44.5,85.61
22.61,34.11,9.36,1003.24,147.09,73.74,58.06,41.03,2.93,82.8,103.68
27.39,52.27,5.97,1012.55,237.27,99.78,40.46,16.65,3.48,128.3,151.36
26.67,85.25,1.7,1000.67,21.84,188.9,89.43,30.16,0.61,101.33,82.46
30.19,65.07,6.03,1026.91,129.31,164.89,48.05,45.91,3.21,13.16,148.53
22.45,62.3,7.78,999.44,85.59,73.3,34.95,17.39,1.55,172.1,101.35
23.65,46.13,4.36,1011.04,129.54,57.63,94.42,41.36,2.63,153.62,116.47
20.11,52.11,8.86,1002.58,10.87,78.67,85.7,2.45,3.91,54.29,50.99
22.78,83.72,6.66,1018.7,81.69,155.73,85.15,2.18,3.59,114.8,113.29
26.89,69.99,9.04,1009.69,205.87,88.64,53.67,38.47,0.77,166.95,142.64
28.78,77.24,6.42,1007.81,140.72,284.8,80.0,38.55,3.04,26.32,159.98
20.39,57.26,1.75,1021.53,115.39,144.52,22.04,39.87,4.85,95.52,122.09
29.35,67.81,3.44,1013.29,74.95,27.05,59.46,46.64,0.95,87.56,38.46
31.78,44.9,2.42,1018.17,78.02,221.49,98.47,7.66,4.29,79.73,128.3
27.07,72.33,9.13,1003.19,98.86,105.37,32.64,13.14,3.57,152.05,123.26
34.38,55.66,7.72,998.95,209.71,199.51,80.46,45.38,3.92,74.71,200.61
21.13,56.55,6.93,1014.07,241.97,91.08,51.6,10.51,1.55,20.82,145.22
18.78,68.96,3.36,1009.81,112.47,175.52,8.78,34.75,1.58,21.19,115.59
16.11,86.18,2.25,1019.26,101.37,233.92,77.49,27.46,4.55,17.27,131.46
32.48,33.84,7.69,1012.2,212.4,279.12,21.01,5.99,1.93,79.55,198.78
28.27,79.48,5.0,1015.05,109.59,85.73,64.99,15.69,0.5,132.13,107.56
24.72,47.54,2.65,996.77,140.24,107.11,13.14,26.98,3.08,44.63,124.85
26.4,56.64,6.36,1031.88,61.58,144.64,94.95,42.91,0.8,119.9,127.88
19.37,31.31,0.88,1011.36,187.16,278.88,32.71,35.96,4.02,126.81,214.81
37.23,48.06,3.6,1019.98,135.34,271.4,26.51,31.85,3.28,53.38,167.3
25.65,60.16,4.95,1004.64,203.21,36.06,17.27,25.81,4.4,112.09,141.04
25.55,33.37,1.91,1016.08,196.28,48.26,94.87,16.34,3.97,126.43,134.32
28.63,59.47,9.85,999.97,57.68,153.7,72.63,7.72,0.74,89.32,69.69
27.41,85.63,2.49,1017.52,180.33,40.92,75.46,21.64,2.03,67.24,138.09
